文章标题,发布日期,头条文章ID,文章链接,发布账号,产品品类,文章类型,标题结构模板,展现量,粉丝展现量,阅读量,粉丝阅读量,CTR(%),完读率(%),平均阅读时长(s),点赞数,评论数,转发量,分享量,收藏数,互动率(%),标题字数,当前阶段,是否限流,限流原因,表现分层,主因归因,辅因归因,可复用点,问题点,下次动作,建议改写标题,归因来源,复盘日期
新风空调拆解实录：多花的2000块到底买了什么,2026-05-19 19:03:00,7641260088379949603,https://toutiao.com/i7641260088379949603/,牛科技说,空调,选购横评,内幕视角型,1880,20,14,0,1.0,2.0,200,0,0,0,0,1,7.14,23,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,做了十年空调评测，我发现差距藏在这3个细节里,历史补标,2026-05-28
冰箱噪音大？问题可能不在你，在这4个地方,2026-05-18 19:00:00,7641054931113361962,https://toutiao.com/i7641054931113361962/,牛科技说,冰箱,教程避坑,其他,2681,18,61,0,2.0,38.87,186,0,0,0,2,0,3.28,20,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,阅读承接偏弱，标题承诺和正文吸引力需要复核。,改标题再试,冰箱别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-28
美的东芝华凌啥关系？三条线买哪条不踩坑,2026-05-18 00:26:09,7640893346910716426,https://toutiao.com/i7640893346910716426/,牛科技说,家电综合,教程避坑,内幕避坑型,1432,15,0,0,0,0,0,0,0,0,0,0,0,19,已发布,疑似限流,展现量低于100或阅读量为0，先作为疑似限流样本复盘。,疑似限流,疑似限流,['标题弱'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台推荐入口弱或阅读为0，需检查标题关键词、品类热度和发布时间。,冻结,,历史补标,2026-05-28
美的555、东芝548、华凌518 制冰冰箱技术拆解,2026-05-16 15:21:47,7640377608529625600,https://toutiao.com/i7640377608529625600/,牛科技说,冰箱,选购横评,多品牌对决型,2010,18,14,0,1.0,37.27,83,0,0,0,0,1,7.14,26,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,冰箱别只看品牌，真正拉开差距的是这3个参数,历史补标,2026-05-28
2026 冰箱门体选购指南：对开门、十字门、法式门到底哪个适合你,2026-05-16 01:30:32,7640128815213199922,https://toutiao.com/i7640128815213199922/,牛科技说,冰箱,选购横评,多品牌对决型,10323,20,808,0,8.0,17.18,188,9,3,0,14,34,7.43,32,已发布,正常,,点击强,标题强点击,['公式可复用'],多品牌对决型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
1万4的77寸OLED，藏着你不知道的隐性成本,2026-05-14 19:00:00,7639661906701206042,https://toutiao.com/i7639661906701206042/,牛科技说,电视,选购横评,内幕视角型,5525,35,428,3,8.0,15.27,114,7,0,0,8,7,5.14,23,已发布,正常,,点击强,标题强点击,['公式可复用'],内幕视角型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,改标题再试,做了十年电视评测，我发现差距藏在这3个细节里,历史补标,2026-05-28
Mini LED终局：SQD与RGB，2027谁成行业标准,2026-05-13 19:07:53,7639324314977714734,https://toutiao.com/i7639324314977714734/,牛科技说,电视,趋势科普,其他,22221,56,1516,7,7.0,16.99,268,35,32,0,72,45,12.14,29,已发布,正常,,推荐强,平台愿意推,['标题强点击'],其他 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
做了十年家电评测，冰箱的真实差距只在这3个参数,2026-05-12 19:04:50,7638948919187161643,https://toutiao.com/i7638948919187161643/,牛科技说,冰箱,选购横评,内幕视角型,11259,37,965,1,9.0,17.5,176,14,1,0,19,24,6.01,23,已发布,正常,,点击强,标题强点击,['公式可复用'],内幕视角型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
买电视只认这3个品牌，其余的我真不敢推荐,2026-05-11 19:11:31,7638586683910259263,https://toutiao.com/i7638586683910259263/,牛科技说,电视,选购横评,其他,1488,38,13,4,1.0,68.57,309,1,0,0,0,2,23.08,20,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,电视别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-28
外资家电集体撤退：三星/索尼/LG走了，谁在填满中国人的家？,2026-05-10 19:00:00,7637842312646640168,https://toutiao.com/i7637842312646640168/,牛科技说,电视,趋势科普,多品牌对决型,13761,44,1007,2,7.0,17.4,121,12,43,0,14,17,8.54,30,已发布,正常,,推荐强,平台愿意推,['标题强点击'],多品牌对决型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
做了十年电视评测，海信TCL创维的真实差距才看清,2026-05-09 19:35:00,7637727635140903464,https://toutiao.com/i7637727635140903464/,牛科技说,电视,选购横评,多品牌对决型,138703,39,11004,0,8.0,14.33,209,136,82,2,158,233,5.55,24,已发布,正常,,爆款,标题强点击,"['内容承接强', '公式可复用']",电视+多品牌对决型 已验证，展现/阅读/CTR 同时强，可作为下周优先复用结构。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
油烟机推荐！2026四品牌横评不踩坑,2026-05-08 20:05:00,7637456852694893119,https://toutiao.com/i7637456852694893119/,牛科技说,油烟机,教程避坑,内幕避坑型,14449,28,1141,5,8.0,12.31,171,12,1,0,44,93,13.15,18,已发布,正常,,点击强,标题强点击,['公式可复用'],内幕避坑型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-28
